Kudermetova/Ostapenko,Hsieh/Strycova,WTA Doha ,2.75,1.40
Melichar/Peschke,Pliskova/Pliskova,WTA Doha ,1.57,2.25
Balaji/Kadhe,Ratiwatana/Ratiwatana,Challenger de Bangkok ,2.00,1.72
Hsieh/Rungkat,Erlich/Sela,Challenger de Bangkok ,1.66,2.10
Moriya/Yang,Oliveira/Polmans,Challenger de Bangkok ,2.62,1.44
Purcell/Reid,Begemann/Junaid,Challenger de Bangkok ,2.00,1.72
Bonzi/Humbert,Benchetrit/Blancaneaux,Challenger de Cherbourg ,1.80,1.90
Moraing/Otte,Crepatte/Safiullin,Challenger de Cherbourg ,1.57,2.25
Bublik/Travaglia,Cornut-Chauvinc/Guinard,Challenger de Cherbourg ,1.36,3.00
Eysseric/Galovic,Galloway/Lammons,Challenger de Cherbourg ,2.37,1.53
Cerundolo/Hardt,La Vela/Vianello,ITF 15 Antalya ,1.10,6.50
Mantilla/Cristian Rodríguez,Crnokrak/Wong,ITF 15 Antalya ,1.11,6.00
Dalla Valle/Monteiro,Haerteis/Kalenichenko,ITF M25 Barnstaple ,2.10,1.66
Draper/Glasspool,Escoffier/Grenier,ITF M25 Barnstaple ,1.83,1.83
Grills/Tearney,Hoyt/Johnson,ITF M25 Barnstaple ,4.00,1.22
Bergs/Reed,Gao/Te,ITF M25 Barnstaple ,1.53,2.37
Fawcett/Ritschard,Mchugh/Peniston,ITF M25 Barnstaple ,2.37,1.53
Luz/M R Alves,Cash/Watson,ITF M25 Barnstaple ,1.66,2.10
Balzerani/Klein,Liska/Styler,ITF M15 Monastir ,1.071,7.50
Martinez/Woerner,Thursfield/Willis,ITF M15 Monastir ,1.53,2.37
Kopriva/Pospisil,Bergevi/Lakat,ITF M15 Sharm El Sheikh ,2.37,1.53
Morisaki/Okuno,Naito/Sato,ITF 15 Antalya ,1.57,2.25
Sanesi/Scala,Stamatova/Doga Turkmen,ITF 15 Antalya ,1.25,3.75
Piangerelli/Sposetti,Arakawa/Matsuda,ITF 15 Antalya ,5.50,1.12
Remy/Temin,Sewing/Zhu,ITF W15 Monastir ,1.90,1.80
A-Da Rosa/Benaissa,Njiric/Stokke,ITF W15 Monastir ,7.50,1.071
Dartron/Girard,Bulgaru/Ene,ITF W15 Monastir ,2.75,1.40
Milosevic/Pirok,Nieuwboer/Timmermans,ITF W15 Sharm El Sheikh ,7.00,1.083
Guo/Runglerdkriangkrai,Ryser/Sacco,ITF W15 Sharm El Sheikh ,2.20,1.61
Golub'aya/Zakarlyuk,Casteleyn/M-B'uero,ITF W15 Sharm El Sheikh ,1.53,2.37
Christie/Savinykh,Gamiz/Uzcategui,ITF W60 Shrewsbury ,1.40,2.75
Fichman/Sanchez,Eikeri/Kovinic,ITF W60 Shrewsbury ,1.66,2.10
Chang/Hsieh,Halbauer/McAdoo,ITF W25 Surprise ,1.44,2.62
Chirico/Rogowska,Bouzkova/Sanchez,ITF W25 Surprise ,1.80,1.90
Karatantcheva/Lim,Arconada/Bektas,ITF W25 Surprise ,2.00,1.72
Manasse/Stefani,Boren/Montez,ITF W25 Surprise ,1.36,3.00
Laine/Murray,Maluniakova/Stara,ITF W25 Trnava ,1.12,5.50
Moratelli/Radanovic,Becker/Molinaro,ITF W25 Trnava ,1.16,4.50
Juhaszova/Mihalikova,Moore/Perrin,ITF W25 Trnava ,2.25,1.57
Krejcikova/Stankovska,Poznikhirenko/Trickovic,ITF W25 Trnava ,1.083,7.00
Catarina/Giacomini,Anand/Rawat,ITF M25 Aktobe ,1.20,4.33
Koval/Rakhimova,Gogol/Poduraeva,ITF W15 Shymkent ,1.040,9.00
